"ID" "replicate" "c_intra" "f" "eo" "B" "del" "a" "c_glob" "ci" "emax" "e_type" "eo_2" "a_s" "g_s" "ho_type" "ho" "ho_step" "hmin" "Mutation" "mu" "mu_step" "mo" "a_m" "g_m"
1 1 0 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
2 2 0 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
3 3 0 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
4 4 0 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
5 5 0 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
6 6 0 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
7 7 0 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
8 8 0 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
9 9 0 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
10 10 0 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
11 1 0.05 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
12 2 0.05 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
13 3 0.05 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
14 4 0.05 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
15 5 0.05 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
16 6 0.05 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
17 7 0.05 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
18 8 0.05 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
19 9 0.05 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
20 10 0.05 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
21 1 0.1 0 1.1 0.8 0.1 0 0.2 1 1.2 "change" 0.6 7.5 1 "distri" 6 0.05 2 TRUE 0.01 0.05 0.01 0.2 1
